[2026-06-26 11:26:10,409] 19 root - INFO - Starting data ingestion process
[2026-06-26 11:26:11,064] 63 root - INFO - Performed train test split on the dataset
[2026-06-26 11:26:11,065] 64 root - INFO - Exit from the split_data_as_train_test method of DataIngestion class
[2026-06-26 11:26:11,066] 70 root - INFO - Exported training and testing dataset into feature store
[2026-06-26 11:26:11,067] 22 root - INFO - Data ingestion completed
[2026-06-26 11:26:11,069] 27 root - INFO - Starting data validation
[2026-06-26 11:26:11,070] 32 root - INFO - Required number of columns: 2
[2026-06-26 11:26:11,070] 33 root - INFO - Data frame has columns:31
[2026-06-26 11:26:11,070] 32 root - INFO - Required number of columns: 2
[2026-06-26 11:26:11,070] 33 root - INFO - Data frame has columns:31
[2026-06-26 11:26:11,081] 29 root - INFO - Data validation completed
[2026-06-26 11:26:11,081] 33 root - INFO - Starting data transformation
[2026-06-26 11:26:11,081] 50 root - INFO - Entered initiate.. method of DataTransformation class
[2026-06-26 11:26:11,081] 52 root - INFO - Starting data transformation
[2026-06-26 11:26:11,083] 40 root - INFO - Enter get_data_transformation_object method of Transformation class
[2026-06-26 11:26:11,089] 44 root - INFO - Entered the save_object method of Mainutils class
[2026-06-26 11:26:11,089] 48 root - INFO - Exited the save_object method of Mainutils class
[2026-06-26 11:26:11,089] 36 root - INFO - Data transformation completed
[2026-06-26 11:26:11,089] 39 root - INFO - Model training started
