[2026-06-25 14:59:42,427] 15 root - INFO - Starting data ingestion process
[2026-06-25 14:59:43,011] 63 root - INFO - Performed train test split on the dataset
[2026-06-25 14:59:43,011] 64 root - INFO - Exit from the split_data_as_train_test method of DataIngestion class
[2026-06-25 14:59:43,013] 70 root - INFO - Exported training and testing dataset into feature store
[2026-06-25 14:59:43,013] 18 root - INFO - Data ingestion completed
[2026-06-25 14:59:43,016] 23 root - INFO - Starting data validation
[2026-06-25 14:59:43,017] 32 root - INFO - Required number of columns: 2
[2026-06-25 14:59:43,017] 33 root - INFO - Data frame has columns:31
[2026-06-25 14:59:43,017] 32 root - INFO - Required number of columns: 2
[2026-06-25 14:59:43,017] 33 root - INFO - Data frame has columns:31
[2026-06-25 14:59:43,033] 25 root - INFO - Data validation completed
[2026-06-25 14:59:43,033] 29 root - INFO - Starting data transformation
[2026-06-25 14:59:43,033] 50 root - INFO - Entered initiate.. method of DataTransformation class
[2026-06-25 14:59:43,033] 52 root - INFO - Starting data transformation
[2026-06-25 14:59:43,034] 40 root - INFO - Enter get_data_transformation_object method of Transformation class
