[2026-06-25 14:49:49,833] 15 root - INFO - Starting data ingestion process
[2026-06-25 14:49:50,440] 63 root - INFO - Performed train test split on the dataset
[2026-06-25 14:49:50,440] 64 root - INFO - Exit from the split_data_as_train_test method of DataIngestion class
[2026-06-25 14:49:50,442] 70 root - INFO - Exported training and testing dataset into feature store
[2026-06-25 14:49:50,443] 18 root - INFO - Data ingestion completed
[2026-06-25 14:49:50,446] 23 root - INFO - Starting data validation
[2026-06-25 14:49:50,448] 32 root - INFO - Required number of columns: 2
[2026-06-25 14:49:50,448] 33 root - INFO - Data frame has columns:31
[2026-06-25 14:49:50,448] 32 root - INFO - Required number of columns: 2
[2026-06-25 14:49:50,448] 33 root - INFO - Data frame has columns:31
[2026-06-25 14:49:50,467] 25 root - INFO - Data validation completed
[2026-06-25 14:49:50,467] 29 root - INFO - Starting data transformation
[2026-06-25 14:49:50,467] 50 root - INFO - Entered initiate.. method of DataTransformation class
[2026-06-25 14:49:50,467] 52 root - INFO - Starting data transformation
[2026-06-25 14:49:50,468] 40 root - INFO - Enter get_data_transformation_object method of Transformation class
[2026-06-25 14:49:50,476] 43 root - INFO - Entered the save_object method of Mainutils class
[2026-06-25 14:49:50,476] 47 root - INFO - Exited the save_object method of Mainutils class
