[2026-06-25 14:41:14,873] 15 root - INFO - Starting data ingestion process
[2026-06-25 14:41:15,641] 63 root - INFO - Performed train test split on the dataset
[2026-06-25 14:41:15,641] 64 root - INFO - Exit from the split_data_as_train_test method of DataIngestion class
[2026-06-25 14:41:15,643] 70 root - INFO - Exported training and testing dataset into feature store
[2026-06-25 14:41:15,643] 18 root - INFO - Data ingestion completed
[2026-06-25 14:41:15,646] 23 root - INFO - Starting data validation
[2026-06-25 14:41:15,649] 32 root - INFO - Required number of columns: 2
[2026-06-25 14:41:15,649] 33 root - INFO - Data frame has columns:31
[2026-06-25 14:41:15,649] 32 root - INFO - Required number of columns: 2
[2026-06-25 14:41:15,649] 33 root - INFO - Data frame has columns:31
[2026-06-25 14:41:15,666] 25 root - INFO - Data validation completed
[2026-06-25 14:41:15,666] 29 root - INFO - Starting data transformation
[2026-06-25 14:41:15,666] 50 root - INFO - Entered initiate.. method of DataTransformation class
[2026-06-25 14:41:15,666] 52 root - INFO - Starting data transformation
