[2026-06-27 10:40:53,759] 19 root - INFO - Starting data ingestion process
[2026-06-27 10:40:54,429] 63 root - INFO - Performed train test split on the dataset
[2026-06-27 10:40:54,429] 64 root - INFO - Exit from the split_data_as_train_test method of DataIngestion class
[2026-06-27 10:40:54,431] 70 root - INFO - Exported training and testing dataset into feature store
[2026-06-27 10:40:54,431] 22 root - INFO - Data ingestion completed
[2026-06-27 10:40:54,434] 27 root - INFO - Starting data validation
[2026-06-27 10:40:54,437] 32 root - INFO - Required number of columns: 2
[2026-06-27 10:40:54,437] 33 root - INFO - Data frame has columns:31
[2026-06-27 10:40:54,437] 32 root - INFO - Required number of columns: 2
[2026-06-27 10:40:54,437] 33 root - INFO - Data frame has columns:31
[2026-06-27 10:40:54,454] 29 root - INFO - Data validation completed
[2026-06-27 10:40:54,454] 33 root - INFO - Starting data transformation
[2026-06-27 10:40:54,454] 50 root - INFO - Entered initiate.. method of DataTransformation class
[2026-06-27 10:40:54,454] 52 root - INFO - Starting data transformation
[2026-06-27 10:40:54,456] 40 root - INFO - Enter get_data_transformation_object method of Transformation class
[2026-06-27 10:40:54,463] 47 root - INFO - Entered the save_object method of Mainutils class
[2026-06-27 10:40:54,464] 51 root - INFO - Exited the save_object method of Mainutils class
[2026-06-27 10:40:54,464] 36 root - INFO - Data transformation completed
[2026-06-27 10:40:54,464] 39 root - INFO - Model training started
[2026-06-27 10:40:56,498] 104 root - INFO - Best Model Found: Random Forest
[2026-06-27 10:40:59,847] 47 root - INFO - Entered the save_object method of Mainutils class
[2026-06-27 10:40:59,848] 51 root - INFO - Exited the save_object method of Mainutils class
[2026-06-27 10:40:59,848] 139 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/06_27_2026_10_40_53/model_trainer/trained_model/model.pkl', trained_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9, precision_score=0.9, recall_score=0.9))
