[2026-06-26 11:29:58,644] 19 root - INFO - Starting data ingestion process
[2026-06-26 11:29:59,305] 63 root - INFO - Performed train test split on the dataset
[2026-06-26 11:29:59,305] 64 root - INFO - Exit from the split_data_as_train_test method of DataIngestion class
[2026-06-26 11:29:59,307] 70 root - INFO - Exported training and testing dataset into feature store
[2026-06-26 11:29:59,307] 22 root - INFO - Data ingestion completed
[2026-06-26 11:29:59,310] 27 root - INFO - Starting data validation
[2026-06-26 11:29:59,312] 32 root - INFO - Required number of columns: 2
[2026-06-26 11:29:59,312] 33 root - INFO - Data frame has columns:31
[2026-06-26 11:29:59,312] 32 root - INFO - Required number of columns: 2
[2026-06-26 11:29:59,312] 33 root - INFO - Data frame has columns:31
[2026-06-26 11:29:59,328] 29 root - INFO - Data validation completed
[2026-06-26 11:29:59,328] 33 root - INFO - Starting data transformation
[2026-06-26 11:29:59,328] 50 root - INFO - Entered initiate.. method of DataTransformation class
[2026-06-26 11:29:59,328] 52 root - INFO - Starting data transformation
[2026-06-26 11:29:59,330] 40 root - INFO - Enter get_data_transformation_object method of Transformation class
[2026-06-26 11:29:59,337] 44 root - INFO - Entered the save_object method of Mainutils class
[2026-06-26 11:29:59,337] 48 root - INFO - Exited the save_object method of Mainutils class
[2026-06-26 11:29:59,338] 36 root - INFO - Data transformation completed
[2026-06-26 11:29:59,338] 39 root - INFO - Model training started
